164,neutral,0.805
165,neutral,1
166,neutral,1
167,positive,1.0346000000000002
168,negative,-1.0507
169,neutral,0.843
170,neutral,1
171,neutral,1
172,neutral,0
173,neutral,1
174,neutral,1
175,neutral,0.853
176,neutral,1
177,negative,-0.9759
178,neutral,1
179,neutral,1
180,neutral,1
181,positive,0.6857
182,neutral,1
183,neutral,1
184,neutral,1
185,neutral,0
186,neutral,1
187,positive,1.3612
188,neutral,1
189,neutral,1
190,positive,0.8755999999999999
191,neutral,1
192,neutral,0.759
193,neutral,1
194,negative,-0.48059999999999997
195,neutral,1
196,neutral,0.685
197,neutral,1
198,neutral,1
199,neutral,1
200,neutral,1
201,neutral,1
202,neutral,1
203,neutral,1
204,neutral,1
205,positive,0.7450000000000001
206,positive,0.9172
207,neutral,0.694
208,positive,0.8629
209,neutral,0.706
210,neutral,1
211,neutral,0.8
212,neutral,1
213,positive,1.4449
214,neutral,1
215,neutral,0.939
216,neutral,0.763
217,neutral,0.913
218,neutral,0.909
219,neutral,1
220,neutral,0
221,positive,0.9786
222,neutral,1
223,neutral,1
224,neutral,1
225,neutral,0
226,neutral,0.803
227,neutral,1
228,negative,-1.097
229,negative,-0.8334
230,neutral,1
231,neutral,1
232,neutral,0.685
233,neutral,0.845
234,neutral,1
235,neutral,0.802
236,neutral,1
237,positive,0.8299
238,positive,1.1319
239,negative,-0.7528999999999999
240,neutral,1
241,positive,0.9524999999999999
242,positive,1.2428
243,neutral,0.777
244,neutral,0.827
245,neutral,1
246,positive,0.9529
247,neutral,0.659
248,neutral,1
249,neutral,1
250,neutral,0.659
251,neutral,1
252,neutral,1
253,neutral,1
254,neutral,1
255,neutral,0.839
256,neutral,1
257,neutral,1
258,neutral,0.839
259,neutral,1
260,neutral,1
261,neutral,1
262,neutral,1
263,neutral,1
264,neutral,1
265,neutral,0.789
266,positive,1.0838999999999999
267,neutral,0.753
268,neutral,1
269,neutral,1
270,neutral,1
271,neutral,0.858
272,neutral,0.714
273,neutral,1
274,neutral,0.759
275,positive,0.8316999999999999
276,neutral,1
277,neutral,1
278,neutral,0.574
279,neutral,1
280,neutral,0.864
281,positive,0.8604
282,negative,-1.153
283,neutral,1
284,neutral,0.906
285,neutral,0.802
286,neutral,0.874
287,positive,1.0099
288,positive,0.8419
289,neutral,1
290,neutral,1
291,negative,-0.9759
292,positive,1.1279
293,neutral,0
294,neutral,0
295,neutral,0.839
296,neutral,0.843
297,neutral,0.888
298,neutral,0.722
299,positive,1.268
300,neutral,0.787
301,positive,1.1316000000000002
302,neutral,1
303,positive,1.1489
304,neutral,1
305,neutral,0.777
306,positive,0.5498000000000001
307,neutral,0.818
308,neutral,0.815
309,neutral,0.805
310,neutral,1
311,positive,1.1337
312,neutral,1
313,neutral,1
314,neutral,1
315,neutral,1
316,neutral,0
317,neutral,0.778
318,positive,0.6608
319,neutral,1
320,neutral,1
321,neutral,1
322,positive,0.7133
323,neutral,0
324,positive,1.4289
325,neutral,1
326,neutral,1
327,neutral,1
328,neutral,1
329,positive,1.1844000000000001
330,neutral,0.894
331,neutral,1
332,positive,0.8200000000000001
333,neutral,1
334,negative,-0.6279
335,positive,1.4759
336,neutral,1
337,positive,0.7792
338,neutral,1
339,neutral,0.82
340,neutral,1
341,neutral,0.8
342,neutral,0.677
343,positive,1.0324
344,positive,1.296
345,neutral,0.827
346,positive,0.8162
347,neutral,0.903
348,positive,1.3612
349,positive,0.8629
350,positive,0.9486
351,neutral,1
352,neutral,0.547
353,negative,-0.65
354,neutral,1
355,neutral,1
356,positive,1.0729
357,neutral,1
358,positive,0.7462
359,neutral,1
360,neutral,1
361,neutral,0.694
362,neutral,1
363,neutral,1
364,neutral,1
365,negative,-0.9045
366,negative,-0.492
367,neutral,1
368,positive,1.296
369,positive,0.788
370,negative,-1.0278
371,neutral,1
372,neutral,0.829
373,neutral,0.762
374,negative,-1.1531
375,neutral,0
376,neutral,0.801
377,positive,1.0227
378,neutral,1
379,neutral,1
380,neutral,1
381,neutral,1
382,neutral,0.769
383,neutral,1
384,neutral,1
385,neutral,0.459
386,neutral,1
387,neutral,0.82
388,neutral,1
389,neutral,0.811
390,neutral,1
